conta_ID,ID,Data,Valor,Descrição,Categoria,
4563108796,20240401001,2024-04-01,-12.0,COMPRA DABITO DOCE SONHO  01 04,Alimentação,
4563108796,20240902001,2024-09-02,-12.0,COMPRA DABITO DOCE SONHO  0109 DOCE SONHO,Alimentação,
4563108796,20240506002,2024-05-06,-12.0,COMPRA DABITO DOCE SONHO  0405,Alimentação,
4563108796,20240805001,2024-08-05,-12.0,COMPRA DABITO DOCE SONHO  0408 DOCE SONHO,Alimentação,
4563108796,20240405001,2024-04-05,-12.0,COMPRA DABITO DOCE SONHO  05 04,Alimentação,
4563108796,20240506001,2024-05-06,-12.0,COMPRA DABITO DOCE SONHO  0605,Alimentação,
4563108796,20240408001,2024-04-08,-12.0,COMPRA DABITO DOCE SONHO  07 04,Alimentação,
4563108796,20240909001,2024-09-09,-12.0,COMPRA DABITO DOCE SONHO  0709 DOCE SONHO,Alimentação,
4563108796,20240508001,2024-05-08,-12.0,COMPRA DABITO DOCE SONHO  08 05,Alimentação,
4563108796,20240311001,2024-03-11,-12.0,COMPRA DABITO DOCE SONHO  09 03,Alimentação,
4563108796,20240409001,2024-04-09,-12.0,COMPRA DABITO DOCE SONHO  09 04,Alimentação,
4563108796,20240510001,2024-05-10,-12.0,COMPRA DABITO DOCE SONHO  1005,Alimentação,
4563108796,20240411001,2024-04-11,-12.0,COMPRA DABITO DOCE SONHO  11 04,Alimentação,
4563108796,20240812001,2024-08-12,-12.0,COMPRA DABITO DOCE SONHO  1108 DOCE SONHO,Alimentação,
4563108796,20240312001,2024-03-12,-12.0,COMPRA DABITO DOCE SONHO  12 03,Alimentação,
4563108796,20240513001,2024-05-13,-12.0,COMPRA DABITO DOCE SONHO  1205,Alimentação,
4563108796,20240415001,2024-04-15,-12.0,COMPRA DABITO DOCE SONHO  13 04,Alimentação,
4563108796,20240916002,2024-09-16,-12.0,COMPRA DABITO DOCE SONHO  1409 DOCE SONHO,Alimentação,
4563108796,20240515001,2024-05-15,-16.29,COMPRA DABITO DOCE SONHO  1505,Alimentação,
4563108796,20240318002,2024-03-18,-12.0,COMPRA DABITO DOCE SONHO  16 03,Alimentação,
4563108796,20240416001,2024-04-16,-12.0,COMPRA DABITO DOCE SONHO  16 04,Alimentação,
4563108796,20240516001,2024-05-16,-12.0,COMPRA DABITO DOCE SONHO  1605,Alimentação,
4563108796,20240318001,2024-03-18,-12.0,COMPRA DABITO DOCE SONHO  18 03,Alimentação,
4563108796,20240418001,2024-04-18,-12.0,COMPRA DABITO DOCE SONHO  18 04,Alimentação,
4563108796,20240520002,2024-05-20,-12.0,COMPRA DABITO DOCE SONHO  1805,Alimentação,
4563108796,20240819001,2024-08-19,-12.0,COMPRA DABITO DOCE SONHO  1808 DOCE SONHO,Alimentação,
4563108796,20240321001,2024-03-21,-12.0,COMPRA DABITO DOCE SONHO  21 03,Alimentação,
4563108796,20240923001,2024-09-23,-12.0,COMPRA DABITO DOCE SONHO  2109 DOCE SONHO,Alimentação,
4563108796,20240325001,2024-03-25,-12.0,COMPRA DABITO DOCE SONHO  23 03,Alimentação,
4563108796,20240424001,2024-04-24,-12.0,COMPRA DABITO DOCE SONHO  2404,Alimentação,
4563108796,20240527002,2024-05-27,-12.0,COMPRA DABITO DOCE SONHO  2505 DOCE SONHO,Alimentação,
4563108796,20240826001,2024-08-26,-12.0,COMPRA DABITO DOCE SONHO  2508 DOCE SONHO,Alimentação,
4563108796,20240326001,2024-03-26,-12.0,COMPRA DABITO DOCE SONHO  26 03,Alimentação,
4563108796,20240426001,2024-04-26,-12.0,COMPRA DABITO DOCE SONHO  2604,Alimentação,
4563108796,20240328001,2024-03-28,-12.0,COMPRA DABITO DOCE SONHO  28 03,Alimentação,
4563108796,20240429001,2024-04-29,-12.0,COMPRA DABITO DOCE SONHO  2804,Alimentação,
4563108796,20240729001,2024-07-29,-12.0,COMPRA DABITO DOCE SONHO  2807 DOCE SONHO,Alimentação,
4563108796,20240930001,2024-09-30,-12.0,COMPRA DABITO DOCE SONHO  2809 DOCE SONHO,Alimentação,
4563108796,20240401002,2024-04-01,-12.0,COMPRA DABITO DOCE SONHO  30 03,Alimentação,
4563108796,20240430001,2024-04-30,-12.0,COMPRA DABITO DOCE SONHO  3004,Alimentação,
3185062241,20240424001,2024-04-24,-22.9,COMPRA DABITO DROGARIA DO 2404,Farmácia,
4563108796,20240411004,2024-04-11,-13.54,COMPRA DABITO DROGARIA MA 11 04,Farmácia,
3185062241,20240424002,2024-04-24,-62.88,COMPRA DABITO DROGARIA MAR2404,Farmácia,
3185062241,20240424004,2024-04-24,-4.98,COMPRA DABITO DROGARIA ULT2404,Farmácia,
